,base,tag
9734,gnieździć,ger:sg:gen:n:imperf:aff
9735,mrówka,subst:sg:gen:f
9736,faraon,subst:pl:gen:m1
9737,prusak,subst:pl:nom:m2
9738,karaczan,subst:pl:nom:m2
9739,okładka,subst:sg:dat:f
9740,grafik,subst:sg:gen:m1
9741,halloweenowy,adj:sg:gen:m1:pos
9742,szaleństwo,subst:sg:gen:n
9743,pech,subst:sg:gen:m2
9744,smolisty,adj:pl:gen:m1:pos
9745,humanitarny,adj:sg:gen:f:pos
9746,szerzyć,ger:sg:dat:n:imperf:aff
9747,potrzeb,subst:pl:nom:f
9748,ekologia,subst:sg:gen:f
9749,wegetarianizm,subst:sg:gen:m3
9750,optymalnie,adv:pos
9751,pełnowartościowy,adj:sg:nom:m1:pos
9752,przytoczyć,ppas:sg:nom:n:perf:aff
9753,szmat,subst:sg:nom:m3
9754,rupiecie,subst:sg:nom:n
9755,oględziny,subst:pl:loc:n
9756,postrzegać,ppas:sg:nom:m1:imperf:aff
9757,aspołeczny,adj:sg:nom:n:pos
9758,chadzać,fin:pl:ter:imperf
9759,przywiązywać,pcon:imperf
9760,współplemieniec,subst:sg:gen:m1
9761,chomik,subst:sg:nom:m1
9762,istny,adj:pl:gen:m1:pos
9763,RTG,ign
9764,piersiowy,adj:sg:gen:f:pos
9765,potwierdzenie,subst:sg:nom:n
9766,atak,subst:sg:gen:m3
9767,padaczkowy,adj:pl:gen:m1:pos
9768,podawanie,subst:sg:gen:n
9769,drgawka,subst:sg:gen:f
9770,niezależnie,adv:pos
9771,pochodna,subst:pl:gen:f
9772,benzodwuazepiny,ign
9773,dożylnie,adv:pos
9774,doodbytniczo,adv:pos
9775,Wrzesień,subst:sg:nom:m1
9776,urlopowy,adj:sg:gen:m1:pos
9777,wojaż,subst:sg:nom:m3
9778,harmonia,subst:sg:nom:f
9779,mnogość,subst:sg:nom:f
9780,przysyłać,fin:sg:ter:imperf
9781,pozdrowienie,subst:sg:gen:n
9782,kanikuła,subst:sg:acc:f
9783,poznawać,fin:sg:ter:imperf
9784,nagi,adj:sg:nom:f:pos
9785,futro,subst:sg:nom:n
9786,doński,adj:sg:gen:m1:pos
9787,sfinks,subst:sg:gen:m2
9788,uznany,adj:sg:gen:m1:pos
9789,FIFe,ign
9790,portret,subst:sg:gen:m3
9791,acz,comp
9792,polubić,praet:sg:n:perf
9793,stworzenie,subst:sg:nom:n
9794,Humphrey,ign
9795,odejście,subst:sg:nom:n
9796,emerytura,subst:pl:gen:f
9797,Amelka,subst:sg:nom:f
9798,łobuz,subst:sg:gen:m1
9799,przybiegać,praet:sg:m1:imperf
9800,miauczeć,fin:sg:ter:imperf
9801,niebezpieczeństwo,subst:sg:nom:n
9802,przyprowadzić,praet:sg:f:perf
9803,kocię,subst:pl:nom:n
9804,SAMIRA,ign
9805,ELMRIDGE,ign
9806,kotek,subst:sg:gen:m2
9807,srebrzysty,adj:sg:nom:n:pos
9808,MATIKI'S,ign
9809,amulet,subst:pl:nom:m3
9810,OF,ign
9811,SCHOOERTJES,ign
9812,najstarszy,subst:sg:nom:m1
9813,zasłużona,subst:pl:gen:f
9814,częściowo,adv:pos
9815,gros,subst:sg:nom:m3
9816,agresja,subst:sg:acc:f
9817,mieszać,fin:sg:ter:imperf
9818,widzialny,adj:sg:nom:n:pos
9819,niestara,subst:sg:acc:f
9820,nieprzyjemność,subst:sg:gen:f
9821,wzrokowy,adj:sg:nom:n:pos
9822,słowny,adj:pl:gen:m1:pos
9823,wrzeszczeć,fin:sg:ter:imperf
9824,dzierżeć,fin:pl:ter:imperf
9825,karmicielski,ign
9826,ekwipunek,subst:sg:nom:m3
9827,zachęcać,praet:sg:m1:imperf
9828,urna,subst:pl:gen:f
9829,rośnie,adv:pos
9830,korespondentka,subst:pl:gen:f
9831,łam,subst:pl:loc:m3
9832,miesięcznik,subst:sg:gen:m3
9833,obalać,ger:sg:inst:n:imperf:aff
9834,toksoplazmoza,subst:sg:gen:f
9835,zarażenie,subst:sg:gen:n
9836,Zamięcka,ign
9837,obrazowo,adv:pos
9838,adopcja,subst:sg:gen:f
9839,drukować,ger:sg:nom:n:imperf:aff
9840,Franciszek,subst:sg:gen:m1
9841,Klimek,subst:sg:nom:m1
9842,wzruszać,pcon:imperf
9843,łza,subst:sg:gen:f
9844,zarażać,fin:sg:ter:imperf
9845,wrażliwość,subst:sg:nom:f
9846,potrzebująca,subst:pl:dat:f
9847,artykułować,fin:sg:ter:imperf
9848,Ada,subst:sg:gen:f
9849,czuja,subst:sg:acc:f
9850,obrażona,subst:pl:dat:f
9851,zaniedbany,adj:sg:inst:m1:pos
9852,dbanie,subst:sg:nom:n
9853,chodzenie,subst:sg:nom:n
9854,kosmetyczka,subst:sg:nom:f
9855,balowanie,subst:sg:gen:n
9856,towarzyski,adj:sg:nom:n:pos
9857,zazdrościć,fin:sg:pri:imperf
9858,stroszyć,ger:sg:gen:n:imperf:aff
9859,ustawienie,subst:sg:gen:n
9860,wibrys,subst:pl:gen:m2
9861,mięśniowy,adj:sg:gen:f:pos
9862,dowolnie,adv:pos
9863,ciekawostka,subst:sg:nom:f
9864,górny,adj:sg:nom:m1:pos
9865,makijaż,subst:sg:gen:m3
9866,Cat,ign
9867,Club,subst:sg:nom:m3
9868,łódzki,adj:pl:inst:m1:pos
9869,odddziału,ign
9870,kwestować,praet:sg:n:imperf
9871,1803,num:pl:nom:m1:rec
9872,TOZ,subst:sg:nom:m3
9873,hojność,subst:sg:nom:f
9874,życzliwość,subst:sg:nom:f
9875,miot,subst:sg:gen:m3
9876,wad,subst:sg:nom:m3
9877,kociak,subst:sg:nom:m2
9878,hamować,pcon:imperf
9879,odwrotnie,adv:pos
9880,rozród,subst:sg:loc:m3
9881,wzorzec,subst:pl:nom:m3
9882,TVP,subst:sg:nom:f
9883,wspierający,adj:sg:nom:n:pos
9884,prokot,subst:sg:loc:m1
9885,Irena,subst:sg:gen:f
9886,nalewać,pcon:imperf
9887,Miau.pl,subst:sg:nom:m3
9888,Martyn,subst:sg:gen:m1
9889,Rux,ign
9890,autorek,subst:sg:gen:m1
9891,obiecać,praet:sg:m1:perf
9892,guz,subst:sg:inst:m2
9893,margines,subst:sg:gen:m3
9894,szczepienie,subst:sg:gen:n
9895,lędźwiowy,adj:sg:inst:m1:pos
9896,szczepionka,subst:sg:gen:f
9897,chirurgiczny,adj:sg:gen:f:pos
9898,obwodowy,adj:sg:gen:m1:pos
9899,kończyna,subst:pl:inst:f
9900,miedniczny,adj:pl:gen:m1:pos
9901,podudzie,subst:sg:gen:n
9902,iniekcja,subst:pl:nom:f
9903,ściśle,adv:pos
9904,podskórnie,adv:pos
9905,patologiczny,adj:pl:gen:m1:pos
9906,odwiedziny,subst:pl:gen:n
9907,Kocilla,ign
9908,kastracja,subst:sg:gen:f
9909,wykastrować,inf:perf
9910,osobowość,subst:sg:gen:f
9911,popełniać,fin:pl:pri:imperf
9912,antropomorfizować,pcon:imperf
9913,prokreacyjny,adj:pl:gen:m1:pos
9914,rasowy,adj:sg:acc:f:pos
9915,mika,subst:sg:nom:f
9916,Poland,ign
9917,ras,subst:sg:nom:m1
9918,atrakcyjny,adj:sg:nom:m1:pos
9919,rączka,subst:sg:nom:f
9920,kastrować,inf:imperf
9921,żyjąca,subst:pl:gen:f
9922,populacja,subst:pl:inst:f
9923,lokator,subst:pl:nom:m1
9924,wystawca,subst:pl:gen:m1
9925,wystawowy,adj:pl:gen:m1:pos
9926,wątpienie,subst:sg:gen:n
9927,ranga,subst:sg:gen:f
9928,border,ign
9929,show,subst:sg:nom:m3
9930,odpukiwać,fin:sg:pri:imperf
9931,Dudusiowe,ign
9932,bezpiecznie,adv:pos
9933,kontenerek,ign
9934,szczelnie,adv:pos
9935,duduś,subst:sg:nom:m1
9936,dźwig,subst:sg:inst:m3
9937,internet,subst:sg:nom:m3
9938,news,subst:sg:nom:m2
9939,ratyfikacja,subst:sg:gen:f
9940,patronat,subst:sg:nom:m3
9941,Felis,ign
9942,gratulować,fin:pl:pri:imperf
9943,bezwłosy,adj:sg:gen:f:pos
9944,peterbolda,ign
9945,Wilczek,subst:pl:nom:m1
9946,opisywać,fin:sg:ter:imperf
9947,całoroczny,adj:sg:nom:m1:pos
9948,woliera,subst:sg:acc:f
9949,sfera,subst:sg:dat:f
9950,miło,adv:pos
9951,poczytać,fin:sg:pri:perf
9952,elegancki,adj:sg:nom:m1:pos
9953,hol,subst:sg:nom:m3
9954,galeria,subst:sg:gen:f
9955,pękać,praet:pl:m1:imperf
9956,szew,subst:pl:loc:m3
9957,dopchać,inf:perf
9958,tłumnie,adv:pos
9959,Hala,subst:pl:loc:f
9960,Iase,ign
9961,przyrodniczy,adj:sg:acc:f:pos
9962,królestwo,subst:sg:gen:n
9963,BOTANICA,ign
9964,ogrodniczy,adj:sg:gen:f:pos
9965,lampka,subst:sg:nom:f
9966,choinkowy,adj:pl:gen:m1:pos
9967,swędzieć,praet:pl:m2:imperf
9968,upolować,ppas:sg:gen:m1:perf:aff
9969,poparzenie,subst:pl:gen:n
9970,strącić,ppas:pl:gen:m1:perf:aff
9971,palący,subst:sg:gen:m1
9972,wyróżniać,fin:pl:ter:imperf
9973,ciemność,subst:sg:gen:f
9974,żarówka,subst:sg:nom:f
9975,ultrafiloletowe,ign
9976,modyfikacja,subst:sg:acc:f
9977,DNA,subst:sg:nom:m3
9978,eksperyment,subst:sg:gen:m3
9979,koreański,subst:sg:nom:m3
9980,gen,subst:sg:nom:m3
9981,genetyczny,adj:pl:gen:m1:pos
9982,ujemnie,adv:pos
9983,świecący,adj:sg:gen:m1:pos
9984,angora,subst:sg:gen:m2
9985,świetnie,adv:pos
9986,DVM,ign
9987,uhonorować,ppas:sg:nom:f:perf:aff
9988,BiV,ign
9989,kolor,subst:pl:loc:m3
9990,startująca,subst:pl:nom:f
9991,piękność,subst:sg:gen:f
9992,Meow,ign
9993,TV,subst:sg:nom:f
9994,przegląd,subst:sg:nom:m3
9995,casting,subst:sg:nom:m3
9996,dowolność,subst:sg:gen:f
9997,824,num:pl:nom:m1:rec
9998,armia,subst:sg:gen:f
9999,94,num:pl:nom:m1:rec
10000,www,subst:sg:nom:f
10001,catclub-sopot.pl,subst:sg:nom:m3
10002,510,num:pl:nom:m1:rec
10003,256,num:pl:nom:m1:rec
10004,732,num:pl:nom:m1:rec
10005,SuperFelis,ign
10006,założycielka,subst:pl:gen:f
10007,forum.miau.pl,subst:sg:nom:m3
10008,drelich,subst:sg:nom:m3
10009,zagranica,subst:sg:gen:f
10010,wypróbować,ger:sg:nom:n:perf:aff
10011,asortyment,subst:pl:nom:m3
10012,ulubieniec,subst:sg:nom:m1
10013,karm,subst:pl:nom:m3
10014,żwirek,subst:pl:gen:m3
10015,piórko,subst:sg:gen:n
10016,wstążeczka,subst:pl:loc:f
10017,zaspokajać,fin:sg:ter:imperf
10018,stoisko,subst:sg:gen:n
10019,miau,interj
10020,forumowicz,subst:pl:gen:m1
10021,felinologicznej,ign
10022,pokus,subst:pl:nom:m3
10023,oścież,subst:sg:nom:f
10024,balkon,subst:sg:nom:m3
10025,wpadać,fin:sg:ter:imperf
10026,kalectwo,subst:sg:gen:n
10027,Animalia,ign
10028,założyć,ppas:sg:nom:f:perf:aff
10029,2005,num:pl:nom:m1:rec
10030,statutowy,adj:sg:acc:f:pos
10031,obopólny,adj:pl:gen:m1:pos
10032,spóźniać,praet:sg:m1:imperf
10033,telefonia,subst:sg:gen:f
10034,zapasowy,adj:pl:gen:m1:pos
10035,klucz,subst:pl:gen:m3
10036,szuflada,subst:sg:dat:f
10037,nówka,subst:sg:acc:f
10038,spoko,adv:pos
10039,Thomas,subst:sg:gen:m1
10040,Graves,subst:sg:nom:m1
10041,College'u,ign
10042,weterynaryjny,adj:sg:gen:f:pos
10043,University,ign
10044,of,ign
10045,Illinois,subst:sg:nom:n
10046,niedostępny,adj:sg:nom:n:pos
10047,zmysł,subst:pl:nom:m3
10048,kilkuletni,adj:sg:gen:m1:pos
10049,nawyk,subst:pl:nom:m3
10050,młokos,subst:pl:dat:m1
10051,wygrana,subst:sg:nom:f
10052,wytrwałość,subst:sg:inst:f
10053,ZOOMARKET,ign
10054,patron,subst:sg:gen:m1
10055,medialny,adj:sg:nom:n:pos
10056,ZooMarketu,ign
10057,talent,subst:sg:nom:m2
10058,szermierczy,adj:sg:acc:f:pos
10059,precyzja,subst:sg:nom:f
10060,lekkość,subst:sg:nom:f
10061,struna,subst:pl:gen:f
10062,Eliot,subst:sg:loc:m1
10063,Ulatowska,subst:sg:gen:f
10064,zatopić,ppas:sg:gen:m1:perf:aff
10065,aukcja,subst:sg:acc:f
10066,krzywdzić,inf:imperf
10067,zacytować,praet:sg:m1:perf
10068,katalog,subst:sg:nom:m3
10069,harmonijny,adj:sg:gen:m1:pos
10070,Slavia,ign
10071,przestronnie,adv:pos
10072,mankament,subst:pl:nom:m3
10073,syberyjski,adj:sg:dat:m1:pos
10074,ragdolle,ign
10075,maine,ign
10076,coony,ign
10077,nowina,subst:sg:acc:f
10078,federacyjno,ign
10079,Royal,ign
10080,Canin,ign
10081,doświadczenie,subst:sg:gen:n
10082,cykl,subst:sg:gen:m3
10083,wtajemniczona,subst:pl:gen:f
10084,nowicjusz,subst:sg:nom:m1
10085,sprostać,inf:perf
10086,serdecznie,adv:pos
10087,Twardowska,subst:pl:dat:f
10088,klasztor,subst:sg:loc:m3
10089,adopcyjny,adj:pl:inst:m1:pos
10090,Weiss,subst:sg:nom:m1
10091,skarpetka,subst:sg:gen:f
10092,klęcznik,subst:sg:loc:m3
10093,Skiba,subst:sg:nom:m1
10094,swada,subst:sg:inst:f
10095,poprowadzić,praet:sg:m1:perf
10096,porcelana,subst:sg:gen:f
10097,Kaczyńska,subst:pl:gen:f
10098,zlicytować,imps:perf
10099,glin,subst:sg:nom:m3
10100,Natalka,subst:sg:nom:f
10101,Rogalska,subst:sg:acc:f
10102,karmicielka,subst:pl:gen:f
10103,kalendarz,subst:sg:loc:m3
10104,Niedziółki,ign
10105,świetny,adj:sg:acc:f:pos
10106,niebywały,adj:sg:nom:n:pos
10107,podpowiedź,subst:sg:nom:f
10108,pisanie,subst:sg:gen:n
10109,zabiegany,adj:sg:nom:m1:pos
10110,słówko,subst:sg:nom:n
10111,samostanowienie,subst:sg:gen:n
10112,obłąkańczy,adj:sg:inst:m1:pos
10113,entuzjazm,subst:sg:inst:m3
10114,Viva,ign
10115,367,num:pl:nom:m1:rec
10116,49,num:pl:nom:m1:rec
10117,1370,num:pl:nom:m1:rec
10118,1109,num:pl:nom:m1:rec
10119,0000,num:pl:nom:m1:rec
10120,1706,num:pl:nom:m1:rec
10121,4838,num:pl:nom:m1:rec
10122,7303,num:pl:nom:m1:rec
10123,dopisek,subst:pl:inst:m3
10124,Korabiewic,ign
10125,paczka,subst:sg:acc:f
10126,korabiewicki,adj:pl:gen:m1:pos
10127,%,interp
10128,darowizna,subst:pl:gen:f
10129,winny,subst:pl:nom:m1
10130,widzenie,subst:sg:gen:n
10131,przejaw,subst:sg:inst:m3
10132,czynnie,adv:pos
10133,rozdzielać,fin:pl:ter:imperf
10134,bliscy,subst:pl:nom:m1
10135,głodny,subst:sg:nom:m1
10136,kwietniowy,adj:sg:gen:m1:pos
10137,niebiesko,adv:pos
10138,koratach,ign
10139,odcień,subst:pl:loc:m3
10140,tajski,adj:sg:gen:m1:pos
10141,koraty,ign
10142,Donatelli,ign
10143,Mastrangelo,ign
10144,monografia,subst:sg:gen:f
10145,publikacja,subst:pl:nom:f
10146,koratów,ign
10147,fotograficzny,adj:sg:acc:f:pos
10148,pupil,subst:pl:nom:m1
10149,King,subst:sg:nom:m1
10150,Laskowska,subst:sg:nom:f
10151,Boguszyc,ign
10152,Kania,subst:sg:nom:m1
10153,Kunów,subst:sg:gen:m3
10154,Jolanta,subst:sg:nom:f
10155,Bromer,ign
10156,Pietraszowa,ign
10157,wiadomość,subst:sg:nom:f
10158,Downing,ign
10159,1989,num:pl:nom:m1:rec
10160,rezydencja,subst:sg:gen:f
10161,niezłomny,adj:pl:nom:m1:pos
10162,pogromca,subst:sg:acc:m1
10163,biało,adv:pos
10164,szturm,subst:sg:loc:m3
10165,plebiscyt,subst:sg:gen:m3
10166,wyczerpujący,adj:pl:gen:m1:pos
10167,charytatywny,adj:sg:nom:n:pos
10168,fundator,subst:pl:gen:m1
10169,wolontariusz,subst:pl:gen:m1
10170,jednoczyć,ger:sg:nom:n:imperf:aff
10171,dumnie,adv:pos
10172,mądry,adj:sg:nom:m1:com
10173,dotykać,praet:pl:m2:imperf
10174,realność,subst:sg:nom:f
10175,grudniowy,adj:sg:nom:m1:pos
10176,przerodzić,praet:sg:f:perf
10177,szaleniec,subst:sg:inst:m1
10178,przedświąteczny,adj:pl:gen:m1:pos
10179,pogoń,subst:sg:gen:f
10180,przystanąć,praet:sg:m1:perf
10181,lśniący,adj:sg:inst:m1:pos
10182,zziębnąć,ppas:pl:nom:m1:perf:aff
10183,piwniczny,adj:pl:gen:m1:pos
10184,zaświecie,subst:pl:gen:n
10185,gwiazdka,subst:sg:gen:f
10186,odmienić,fin:sg:ter:perf
10187,logo,subst:sg:nom:n
10188,odświeżyć,praet:sg:m1:perf
10189,graficzny,adj:sg:acc:f:pos
10190,urodzinowy,adj:sg:nom:n:pos
10191,wzruszony,adj:sg:nom:m1:pos
10192,bezstresowy,adj:sg:inst:m1:pos
10193,wytwornie,adv:pos
10194,szczędzić,praet:sg:m1:imperf
10195,białaczka,subst:sg:acc:f
10196,Balcerak,ign
10197,rozpaczać,fin:pl:ter:imperf
10198,obojętny,adj:sg:acc:f:pos
10199,plastikowy,adj:sg:nom:m1:pos
10200,blaszany,adj:sg:nom:n:pos
10201,parapet,subst:sg:nom:m3
10202,Felinologicznej,ign
10203,FPL,ign
10204,pełnoprawny,adj:pl:inst:m1:pos
10205,dwuletni,adj:sg:acc:f:pos
10206,SHKRP,ign
10207,powiększać,fin:sg:ter:imperf
10208,emigracja,subst:sg:gen:f
10209,Żyd,subst:pl:gen:m1
10210,AMIL,ign
10211,dochodzący,adj:sg:nom:n:pos
10212,kondycja,subst:sg:gen:f
10213,klimatyzacja,subst:sg:acc:f
10214,ochoczo,adv:pos
10215,zjednywać,fin:sg:ter:imperf
10216,aportować,ger:sg:inst:n:imperf:aff
10217,zabawka,subst:sg:gen:f
10218,kulka,subst:sg:inst:f
10219,niezmordowany,adj:sg:gen:m1:pos
10220,odwrócenie,subst:sg:gen:n
10221,wymuszać,fin:pl:ter:imperf
10222,dopominać,pcon:imperf
10223,miauczenie,subst:sg:inst:n
10224,mini,subst:sg:nom:f
10225,maksi,adj:sg:nom:m1:pos
10226,bałagan,subst:sg:gen:m3
10227,horyzont,subst:sg:gen:m3
10228,smoła,subst:sg:nom:f
10229,Dratewka,ign
10230,Dratewkę,ign
10231,wyrwać,praet:pl:m1:perf
10232,bestialski,adj:sg:nom:n:pos
10233,szewc,subst:pl:gen:m1
10234,piekło,subst:sg:nom:n
10235,pochłonąć,ppas:sg:nom:m1:perf:aff
10236,przewinąć,inf:perf
10237,wyłuskać,inf:perf
10238,rozbójnik,subst:pl:gen:m1
10239,wichrzyciel,subst:pl:gen:m1
10240,terrorystka,subst:sg:gen:f
10241,wyczyn,subst:sg:inst:m3
10242,repertuar,subst:sg:nom:m3
10243,don,burk
10244,Giovanniego,ign
10245,jawić,praet:sg:n:imperf
10246,mizernie,adv:pos
10247,nadpobudliwość,subst:sg:nom:f
10248,ruchowy,adj:sg:acc:f:pos
10249,bezpośredni,adj:sg:inst:m1:pos
10250,łącze,subst:pl:gen:n
10251,ekspansywny,adj:sg:nom:n:pos
10252,owocować,fin:pl:ter:imperf
10253,eksplozja,subst:sg:gen:f
10254,niespożyty,adj:sg:acc:f:pos
10255,zasłużyć,praet:pl:m1:perf
10256,akcesoria,subst:pl:gen:n
10257,hurtownie,adv:pos
10258,niespodzianka,subst:sg:nom:f
10259,zdalny,adj:sg:gen:m1:pos
10260,wydzielać,inf:imperf
10261,karma,subst:sg:inst:f
10262,samooczyszczenie,subst:sg:nom:n
10263,kuweta,subst:pl:gen:f
10264,podglądać,inf:imperf
10265,wymyślny,adj:sg:acc:f:pos
10266,wpisywać,inf:imperf
10267,czipów,ign
10268,zaczipowaniu,ign
10269,przesłać,fin:pl:ter:perf
10270,rodowodowy,adj:sg:inst:m1:pos
10271,czipu,ign
10272,www.felispolonia.pl,subst:sg:nom:m3
10273,identyfikacja,subst:sg:acc:f
10274,www.identyfikacja.pl,subst:sg:nom:m3
10275,net,subst:sg:nom:m3
10276,www.europetnet.com,subst:sg:nom:m3
10277,ławeczka,subst:sg:dat:f
10278,Julian,subst:sg:gen:m1
10279,Tuwim,subst:sg:gen:m1
10280,zdziwienie,subst:sg:inst:n
10281,zaprzyjaźniony,adj:pl:gen:m1:pos
10282,LOT,subst:sg:nom:m3
10283,podróżować,inf:imperf
10284,Pruszków,subst:sg:nom:m3
10285,odstawać,fin:pl:ter:imperf
10286,fryzura,subst:sg:acc:f
10287,101,num:pl:nom:m1:rec
10288,champion,subst:sg:nom:m1
10289,założyciel,subst:sg:inst:m1
10290,administrator,subst:sg:nom:m1
10291,900,num:pl:nom:m1:rec
10292,zapobieganie,subst:sg:gen:n
10293,bezdomność,subst:sg:nom:f
10294,zrozumienie,subst:sg:dat:n
10295,wścieklizna,subst:sg:acc:f
10296,Finlandia,subst:sg:nom:f
10297,odrobaczyć,ppas:sg:nom:m1:perf:aff
10298,Malta,subst:sg:nom:f
10299,przeciwkleszczowy,adj:sg:nom:n:pos
10300,Lublin,subst:sg:loc:m3
10301,Lubelskie,subst:sg:gen:n
10302,Anaida,ign
10303,Flemming,ign
10304,Bibiś,ign
10305,Waśka,ign
10306,tolerant,subst:sg:nom:m1
10307,Dyziek,ign
10308,pankot,subst:sg:nom:m1
10309,gacek,subst:pl:nom:m2
10310,Miauelek,ign
10311,przytaczać,inf:imperf
10312,narada,subst:sg:nom:f
10313,budowlano,adv:pos
10314,montażowy,adj:pl:gen:m1:pos
10315,osłabienie,subst:pl:gen:n
10316,pocieszający,adj:sg:nom:n:pos
10317,troszeczkę,adv:pos
10318,mercedes,subst:sg:gen:m2
10319,nissan,subst:sg:nom:m2
10320,wzięcie,subst:sg:gen:n
10321,okup,subst:sg:gen:m3
10322,ubezpieczać,pact:sg:dat:m1:imperf:aff
10323,monument,subst:sg:nom:m3
10324,specyfika,subst:sg:nom:f
10325,rekonstrukcja,subst:sg:gen:f
10326,żółknąć,inf:imperf
10327,posąg,subst:pl:nom:m3
10328,replika,subst:sg:inst:f
10329,postument,subst:sg:loc:m3
10330,popiersie,subst:sg:inst:n
10331,altana,subst:sg:dat:f
10332,poligonowo,ign
10333,to_jest,brev:pun
10334,działkowy,adj:pl:gen:m1:pos
10335,usprzętowienie,subst:sg:gen:n
10336,betoniarka,subst:sg:gen:f
10337,opasek,subst:pl:inst:m3
10338,chwytny,adj:pl:gen:m1:pos
10339,karbować,ppas:sg:gen:m1:imperf:aff
10340,pień,subst:sg:loc:m3
10341,gąsienica,subst:pl:nom:f
10342,przędziorek,subst:sg:nom:m2
10343,Roztoczol,ign
10344,jaja,subst:pl:gen:n
10345,larwa,subst:sg:gen:f
10346,szkodnik,subst:pl:gen:m1
10347,rozsadnik,subst:sg:nom:m3
10348,inspekt,subst:pl:gen:m3
10349,sadzić,praet:sg:f:imperf
10350,seler,subst:pl:nom:m2
10351,brukselski,adj:sg:inst:m1:pos
10352,kalafior,subst:sg:gen:m2
10353,wczesnojesienny,adj:sg:nom:m1:pos
10354,rozstaw,subst:sg:loc:m3
10355,×,interp
10356,schodzić,praet:pl:m2:imperf
10357,współrzędnie,adv:pos
10358,wysadzać,ger:sg:gen:n:imperf:aff
10359,międzyrzędzie,subst:pl:loc:n
10360,sprawozdawczo,adv:pos
10361,pracowniczy,adj:sg:gen:f:pos
10362,podsumowanie,subst:sg:nom:n
10363,1966,num:pl:nom:m1:rec
10364,1969,num:pl:nom:m1:rec
10365,1971,num:pl:nom:m1:rec
10366,1975,num:pl:nom:m1:rec
10367,uprawa,subst:sg:gen:f
10368,dynia,subst:sg:nom:f
10369,nasienie,subst:sg:gen:n
10370,pestka,subst:pl:inst:f
10371,nabycie,subst:sg:gen:n
10372,wysiewać,ppas:pl:gen:m1:imperf:aff
10373,kabaczek,subst:pl:nom:m2
10374,mróz,subst:sg:nom:m3
10375,żyzny,adj:pl:gen:m1:pos
10376,gleba,subst:sg:inst:f
10377,wyrastać,fin:pl:ter:imperf
10378,kulinarny,adj:sg:nom:n:pos
10379,faszerować,fin:sg:ter:imperf
10380,szkieletowy,adj:sg:gen:f:pos
10381,poziomy,adj:pl:gen:m1:pos
10382,ozdobić,ppas:sg:nom:m1:perf:aff
10383,szpaler,subst:sg:nom:m3
10384,stosunkowo,adv:pos
10385,łatwość,subst:sg:inst:f
10386,pielęgnacyjny,adj:sg:nom:f:pos
10387,przerywanie,adv:pos
10388,zawiązek,subst:pl:gen:m3
10389,mechaniczny,adj:pl:gen:m1:pos
10390,nawóz,subst:sg:inst:m3
10391,mineralny,adj:sg:acc:f:pos
10392,płynny,adj:sg:nom:m1:pos
10393,mieszanina,subst:sg:inst:f
10394,uwarunkować,ppas:sg:nom:n:perf:aff
10395,roślina,subst:pl:gen:f
10396,doniczka,subst:pl:gen:f
10397,mazisty,adj:sg:gen:f:pos
10398,budulcowy,adj:sg:gen:f:pos
10399,formować,praet:pl:m1:imperf
10400,wielkość,subst:sg:gen:f
10401,matryca,subst:sg:nom:f
10402,suszyć,ppas:pl:gen:m1:imperf:aff
10403,°,interp
10404,260,num:pl:nom:m1:rec
10405,chemiczny,adj:pl:gen:m1:pos
10406,włókienniczy,adj:pl:gen:m1:pos
10407,nierównomierny,adj:pl:inst:m1:pos
10408,przewodnictwo,subst:sg:nom:n
10409,Gertycha,ign
10410,PAN,subst:sg:nom:m3
10411,działkowiec,subst:pl:gen:m1
10412,pod_tytułem,brev:pun
10413,licznie,adv:pos
10414,bydgoski,adj:sg:inst:m1:pos
10415,przetwórnia,subst:sg:gen:f
10416,importować,ppas:pl:gen:m1:imperf:aff
10417,płat,subst:pl:nom:m3
10418,śledziowy,adj:pl:gen:m1:pos
10419,przydatność,subst:sg:nom:f
10420,zniechęcać,fin:sg:ter:imperf
10421,grosz,subst:sg:gen:m3
10422,opłacalny,adj:sg:nom:m1:pos
10423,minimum,qub
10424,połowowy,adj:sg:gen:m1:pos
10425,śledź,subst:pl:inst:m2
10426,szprot,subst:sg:nom:m2
10427,negocjacyjny,adj:sg:gen:f:pos
10428,kształtować,inf:imperf
10429,KERM,subst:sg:nom:m3
10430,projektować,ppas:sg:nom:m1:imperf:aff
10431,współwyznawca,subst:pl:inst:m1
10432,odpierdolić,impt:sg:sec:perf
10433,RM,subst:sg:nom:m3
10434,zionąć,fin:sg:ter:imperf
10435,fermentować,fin:sg:ter:imperf
10436,szambo,subst:sg:nom:n
10437,Krzakówa,ign
10438,bimberek,ign
10439,torsja,subst:pl:nom:f
10440,Michnik,subst:sg:inst:m1
10441,Rapaczyńska,subst:sg:acc:f
10442,lobbysta,subst:pl:nom:m1
10443,Olejnik,subst:sg:nom:m1
10444,Rywin,subst:sg:gen:m1
10445,oznaka,subst:sg:acc:f
10446,dziurawy,adj:pl:gen:m1:pos
10447,szarość,subst:sg:nom:f
10448,Panslavisty,ign
10449,rozwalić,inf:perf
10450,rechot,subst:sg:gen:m3
10451,prima,adv:pos
10452,prysnąć,praet:sg:n:perf
10453,bańka,subst:pl:gen:f
10454,dobrobyt,subst:sg:loc:m3
10455,opadny,adj:sg:acc:f:pos
10456,gruszka,subst:pl:gen:f
10457,wierzba,subst:sg:gen:f
